image_name,split,class_id(1),x_center(1),y_center(1),width(1),height(1),class_id(2),x_center(2),y_center(2),width(2),height(2),class_id(3),x_center(3),y_center(3),width(3),height(3),class_id(4),x_center(4),y_center(4),width(4),height(4),class_id(5),x_center(5),y_center(5),width(5),height(5),class_id(6),x_center(6),y_center(6),width(6),height(6),class_id(7),x_center(7),y_center(7),width(7),height(7),class_id(8),x_center(8),y_center(8),width(8),height(8),class_id(9),x_center(9),y_center(9),width(9),height(9),class_id(10),x_center(10),y_center(10),width(10),height(10),class_id(11),x_center(11),y_center(11),width(11),height(11),class_id(12),x_center(12),y_center(12),width(12),height(12),class_id(13),x_center(13),y_center(13),width(13),height(13),class_id(14),x_center(14),y_center(14),width(14),height(14),class_id(15),x_center(15),y_center(15),width(15),height(15),class_id(16),x_center(16),y_center(16),width(16),height(16),class_id(17),x_center(17),y_center(17),width(17),height(17),class_id(18),x_center(18),y_center(18),width(18),height(18),class_id(19),x_center(19),y_center(19),width(19),height(19),class_id(20),x_center(20),y_center(20),width(20),height(20),class_id(21),x_center(21),y_center(21),width(21),height(21)
01_jpg.rf.311d897b199b9edde57b99bc4b606074.jpg,train,0,0.49296875,0.30625,0.4515625,0.2234375,0.0,0.54921875,0.6234375,0.43046875,0.3171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_jpg.rf.bf7e43382a861a8c57127bca8c177a2d.jpg,train,0,0.49296875,0.30625,0.4515625,0.2234375,0.0,0.54921875,0.6234375,0.43046875,0.3171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_jpg.rf.2788bebeb55f808442e3a7e04f8fcea8.jpg,train,0,0.48203125,0.5515625,0.9640625,0.6703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_jpg.rf.bf08db3e12adb8f7cff300bac0297ab0.jpg,train,0,0.51796875,0.5515625,0.9640625,0.6703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_jpg.rf.33e1ef5733f131973cfa5aeef0d0d625.jpg,train,0,0.5140625,0.62890625,0.8296875,0.43515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_jpg.rf.3b51657af01c0070746bdcf402e6262b.jpg,train,0,0.4859375,0.37109375,0.8296875,0.43515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_jpg.rf.df60a4cff9f519e0930b45f8d07cb72b.jpg,train,0,0.5140625,0.37109375,0.8296875,0.43515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_jpg.rf.a751004afd12c9af85fea65e0c1c7fb4.jpg,train,0,0.509375,0.5625,0.48828125,0.44921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_jpg.rf.c55d66a5867faba7ae79b9e6e744899f.jpg,train,0,0.490625,0.4375,0.48828125,0.44921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_jpg.rf.4793f551e071f4ffada6e4ea999c8156.jpg,train,0,0.41796875,0.5109375,0.6921875,0.540625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
